Day,Coin,Price,Price_change_24h,Price_change_90d,Price_1h,Price_1d,Price_1w,Price_30day,Price_90d,Market_cap
2024-04-21,BTC,65108.04,1.47,58.26,65076.99,65076.99,64778.1,66291.22,27175.25,1367268909915.0
2024-04-21,ETH,3178.53,3.51,30.97,3176.24,3176.24,3089.07,3490.31,2193.18,381650738375.0
2024-04-21,USDT,1.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,112988860344.0
2024-04-21,BNB,578.9,3.14,82.11,574.53,574.53,565.48,582.96,102.57,86565098122.0
2024-04-21,SOL,151.35,4.94,68.72,149.45,149.45,141.75,174.42,46.34,86914807149.0
2024-04-21,USDC,1.0,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,33956919538.0
2024-04-21,XRP,0.53,3.16,-1.51,0.47,0.47,0.51,0.38,0.46,53129914761.0
2024-04-21,DOGE,0.16,5.05,95.2,0.84,0.84,0.84,0.84,0.99,23569826997.0
2024-04-21,TON,6.23,0.77,181.74,5.21,5.21,5.52,2.65,6.09,31788836721.0
2024-04-21,ADA,0.51,2.07,1.6,0.49,0.49,0.53,0.39,0.5,22841591784.0
2024-04-21,SHIB,0.0,18.09,195.44,1.0,1.0,1.0,1.0,1.0,16159681758.0
2024-04-21,AVAX,38.11,6.36,18.63,37.07,37.07,34.85,49.23,30.01,27274549514.0
2024-04-21,DOT,7.2,5.66,6.84,6.2,6.2,5.68,7.84,5.71,10339379270.0
2024-04-21,BCH,514.03,7.06,118.54,513.29,513.29,495.22,391.8,96.31,10794570495.0
2024-04-21,TRX,0.11,1.3,1.81,0.89,0.89,0.89,0.88,0.89,9721622993.0
2024-04-21,LINK,14.92,6.69,-5.13,13.91,13.91,12.74,16.79,14.68,14916953848.0
2024-04-21,MATIC,0.74,7.22,-5.26,0.26,0.26,0.31,0.06,0.23,7351407472.0
2024-04-21,ICP,15.43,6.72,38.99,14.38,14.38,11.16,11.94,8.41,7988419559.0
2024-04-21,NEAR,6.27,7.66,114.97,5.31,5.31,4.5,5.58,1.94,7440376086.0
2024-04-21,LTC,85.49,3.38,18.43,84.45,84.45,77.78,84.69,68.74,7181560888.0
2024-04-21,DAI,1.0,-0.02,0.05,0.0,0.0,0.0,0.0,0.0,5349104086.0
2024-04-21,LEO,5.76,-0.71,44.39,4.76,4.76,4.83,5.06,2.2,5677570308.0
2024-04-21,UNI,7.83,3.2,24.69,6.83,6.83,6.2,9.6,4.9,7834694866.0
2024-04-21,APT,10.09,3.57,20.45,9.1,9.1,8.3,12.79,7.03,11022435210.0
2024-04-21,ETC,28.07,6.45,15.94,27.19,27.19,25.49,29.32,22.6,5914602042.0
2024-04-21,STX,2.8,13.58,94.7,1.77,1.77,1.69,2.45,0.85,5089461986.0
2024-04-21,MNT,1.21,5.42,77.43,0.21,0.21,0.12,0.31,0.73,7505874530.0
2024-04-21,FIL,6.64,5.78,25.76,5.68,5.68,4.95,7.46,3.93,13017937392.0
2024-04-21,FDUSD,1.0,-0.06,-0.11,0.0,0.0,0.0,0.0,0.0,3588624333.0
2024-04-21,CRO,0.13,5.12,60.68,0.87,0.87,0.87,0.86,0.95,3965507688.0
2024-04-21,RNDR,9.06,11.18,131.89,8.07,8.07,6.93,9.8,3.89,4861454223.0
2024-04-21,ATOM,8.67,4.33,-10.0,7.65,7.65,7.43,9.96,8.53,3388388089.0
2024-04-21,XLM,0.12,2.11,1.2,0.88,0.88,0.89,0.87,0.89,5797951743.0
2024-04-21,OKB,55.62,1.18,4.23,54.76,54.76,52.19,58.64,52.27,16686974240.0
2024-04-21,ARB,1.22,6.74,-31.67,0.22,0.22,0.09,0.55,0.6,12183934355.0
2024-04-21,HBAR,0.09,10.44,20.86,0.91,0.91,0.92,0.89,0.93,4517814234.0
2024-04-21,IMX,2.2,7.25,17.28,1.2,1.2,1.09,1.72,0.82,4393560442.0
2024-04-21,TAO,479.23,5.4,92.63,476.01,476.01,512.43,577.15,34.31,10063932736.0
2024-04-21,WIF,3.17,11.66,1036.52,2.11,2.11,1.62,1.23,30.67,3164906911.0
2024-04-21,VET,0.04,2.24,53.23,0.96,0.96,0.96,0.96,0.98,3667115776.0
2024-04-21,MKR,3067.26,1.4,53.26,3084.26,3084.26,2924.89,3246.72,1432.73,3084368907.0
2024-04-21,KAS,0.12,2.85,19.12,0.88,0.88,0.88,0.85,0.9,3452533909.0
2024-04-21,GRT,0.29,7.6,82.6,0.71,0.71,0.76,0.64,0.95,3111689304.0
2024-04-21,INJ,29.19,4.72,-15.81,28.49,28.49,23.78,34.58,32.8,2918518262.0
2024-04-21,OP,2.52,9.97,-19.61,1.5,1.5,1.23,2.24,2.01,10803630318.0
2024-04-21,PEPE,0.0,17.27,448.15,1.0,1.0,1.0,1.0,1.0,2567962247.0
2024-04-21,THETA,2.28,8.7,131.12,1.29,1.29,1.06,1.8,1.71,2277376958.0
2024-04-21,XMR,120.71,1.51,-23.63,120.18,120.18,120.16,136.32,148.24,2224246285.0
2024-04-21,FTM,0.76,7.06,111.59,0.24,0.24,0.3,0.02,1.09,2408139677.0
2024-04-21,AR,32.37,12.06,254.0,31.59,31.59,23.32,35.13,50.85,2136268250.0
2024-04-21,TIA,11.69,0.68,-30.7,10.73,10.73,10.27,13.1,14.27,12125713686.0
2024-04-21,FET,2.4,7.75,309.98,1.45,1.45,1.15,1.55,6.05,2770609162.0
2024-04-21,RUNE,5.83,7.95,40.48,4.72,4.72,4.19,6.75,2.47,2413112085.0
2024-04-21,CORE,2.17,5.89,329.98,1.17,1.17,0.01,4.58,5.98,4550420189.0
2024-04-21,LDO,2.11,5.52,-28.52,1.1,1.1,0.96,1.62,1.71,2108115299.0
2024-04-21,SUI,1.4,3.56,35.1,0.4,0.4,0.07,0.72,0.09,14034022029.0
2024-04-21,BGB,1.28,1.17,114.07,0.28,0.28,0.15,0.22,1.18,2558983102.0
2024-04-21,FLOKI,0.0,22.7,476.23,1.0,1.0,1.0,1.0,1.0,1706181895.0
2024-04-21,SEI,0.6,3.42,-3.76,0.4,0.4,0.48,0.23,0.38,5999306952.0
2024-04-21,BEAM,0.03,11.31,78.26,0.97,0.97,0.98,0.97,0.99,1955021725.0
2024-04-21,JUP,1.18,11.07,-26.05,0.17,0.17,0.02,0.24,0.49,11826249439.0
2024-04-21,ALGO,0.19,6.09,13.9,0.81,0.81,0.82,0.76,0.84,1906023686.0
2024-04-21,ENA,1.09,6.53,58.01,0.09,0.09,0.15,0.54,0.54,16296928426.0
2024-04-21,GALA,0.05,11.66,115.2,0.95,0.95,0.96,0.94,1.01,1638372883.0
2024-04-21,PENDLE,6.11,5.72,163.78,5.12,5.12,4.82,0.24,4.9,1579479816.0
2024-04-21,FLOW,0.94,5.65,18.04,0.06,0.06,0.08,0.21,0.23,1417408555.0
